"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX","HRZB00ICBEX6","2012-01-26",1723.69,1740.08,1723.49,1740.08,0.97,8336205.79
"XZAG","CBX","HRZB00ICBEX6","2012-01-25",1716.27,1723.41,1709.99,1723.41,0.45,10171834.73
"XZAG","CBX","HRZB00ICBEX6","2012-01-24",1724.25,1724.26,1706.45,1715.67,-0.52,6826548.53
"XZAG","CBX","HRZB00ICBEX6","2012-01-23",1724.50,1730.93,1718.72,1724.71,-0.01,5000858.07
"XZAG","CBX","HRZB00ICBEX6","2012-01-20",1723.16,1725.97,1718.67,1724.83,0.06,3369371.65
"XZAG","CBX","HRZB00ICBEX6","2012-01-19",1722.04,1724.68,1720.61,1723.75,0.12,2528315.51
"XZAG","CBX","HRZB00ICBEX6","2012-01-18",1722.86,1728.74,1720.24,1721.65,-0.06,4350435.61
"XZAG","CBX","HRZB00ICBEX6","2012-01-17",1718.44,1732.49,1717.17,1722.69,0.33,6101219.98
"XZAG","CBX","HRZB00ICBEX6","2012-01-16",1726.85,1728.03,1712.27,1717.08,-0.55,3943551.12
"XZAG","CBX","HRZB00ICBEX6","2012-01-13",1737.75,1740.41,1726.43,1726.63,-0.64,3705261.07
"XZAG","CBX","HRZB00ICBEX6","2012-01-12",1745.93,1746.03,1736.72,1737.77,-0.53,3806690.56
"XZAG","CBX","HRZB00ICBEX6","2012-01-11",1733.39,1747.08,1727.56,1747.08,0.79,11601304.80
"XZAG","CBX","HRZB00ICBEX6","2012-01-10",1741.04,1743.68,1733.45,1733.45,-0.39,4016451.11
"XZAG","CBX","HRZB00ICBEX6","2012-01-09",1738.41,1745.05,1736.21,1740.22,0.11,3988978.53
"XZAG","CBX","HRZB00ICBEX6","2012-01-05",1768.54,1768.54,1735.45,1738.37,-1.71,13817282.15
"XZAG","CBX","HRZB00ICBEX6","2012-01-04",1771.09,1773.47,1760.99,1768.56,-0.14,6713498.38
"XZAG","CBX","HRZB00ICBEX6","2012-01-03",1746.72,1771.05,1745.39,1771.05,1.39,10817206.93
"XZAG","CBX","HRZB00ICBEX6","2012-01-02",1741.44,1749.09,1738.57,1746.71,0.37,2957096.73
"XZAG","CBX","HRZB00ICBEX6","2011-12-30",1727.36,1740.34,1726.99,1740.21,0.88,4455666.57
"XZAG","CBX","HRZB00ICBEX6","2011-12-29",1727.89,1730.12,1724.05,1725.07,-0.15,2818886.65
"XZAG","CBX","HRZB00ICBEX6","2011-12-28",1733.99,1734.56,1721.32,1727.65,-0.50,1878515.68
"XZAG","CBX","HRZB00ICBEX6","2011-12-27",1737.37,1738.07,1728.62,1736.28,-0.03,6221125.02
"XZAG","CBX","HRZB00ICBEX6","2011-12-23",1733.40,1740.44,1731.75,1736.77,0.19,4569394.00
"XZAG","CBX","HRZB00ICBEX6","2011-12-22",1735.83,1745.08,1730.12,1733.54,-0.13,4633757.80
"XZAG","CBX","HRZB00ICBEX6","2011-12-21",1732.77,1753.11,1731.96,1735.75,0.19,11437592.41
"XZAG","CBX","HRZB00ICBEX6","2011-12-20",1740.63,1748.95,1732.06,1732.41,-0.45,8758979.72
"XZAG","CBX","HRZB00ICBEX6","2011-12-19",1753.89,1760.76,1736.18,1740.23,-0.80,7346935.43
"XZAG","CBX","HRZB00ICBEX6","2011-12-16",1736.92,1754.97,1734.92,1754.23,1.03,10435569.71
"XZAG","CBX","HRZB00ICBEX6","2011-12-15",1740.07,1740.07,1725.74,1736.27,-0.22,9448064.79
"XZAG","CBX","HRZB00ICBEX6","2011-12-14",1756.72,1756.72,1739.26,1740.04,-0.92,7043920.30
"XZAG","CBX","HRZB00ICBEX6","2011-12-13",1761.61,1765.98,1747.19,1756.26,-0.29,4998923.55
"XZAG","CBX","HRZB00ICBEX6","2011-12-12",1788.04,1788.04,1755.37,1761.37,-1.46,6438630.44
"XZAG","CBX","HRZB00ICBEX6","2011-12-09",1766.84,1787.47,1760.98,1787.47,0.93,6261190.53
"XZAG","CBX","HRZB00ICBEX6","2011-12-08",1776.43,1777.13,1758.33,1770.98,-0.29,4351636.89
"XZAG","CBX","HRZB00ICBEX6","2011-12-07",1776.60,1786.40,1768.99,1776.15,0.00,3338044.04
"XZAG","CBX","HRZB00ICBEX6","2011-12-06",1809.63,1809.68,1775.37,1776.23,-1.82,8100691.92
"XZAG","CBX","HRZB00ICBEX6","2011-12-05",1800.00,1817.14,1800.00,1809.23,0.54,8424193.47
"XZAG","CBX","HRZB00ICBEX6","2011-12-02",1759.70,1799.53,1759.70,1799.53,2.33,11588262.63
"XZAG","CBX","HRZB00ICBEX6","2011-12-01",1739.74,1761.88,1739.74,1758.63,1.12,9653626.22
"XZAG","CBX","HRZB00ICBEX6","2011-11-30",1719.94,1742.61,1709.87,1739.20,1.02,13399514.20
"XZAG","CBX","HRZB00ICBEX6","2011-11-29",1744.22,1744.81,1717.39,1721.66,-1.30,6701035.81
"XZAG","CBX","HRZB00ICBEX6","2011-11-28",1720.92,1749.17,1720.92,1744.25,1.35,8209748.41
"XZAG","CBX","HRZB00ICBEX6","2011-11-25",1748.41,1748.65,1706.95,1721.05,-1.65,14089478.04
"XZAG","CBX","HRZB00ICBEX6","2011-11-24",1765.21,1765.32,1744.21,1749.91,-0.87,10667820.21
"XZAG","CBX","HRZB00ICBEX6","2011-11-23",1781.65,1782.89,1761.20,1765.21,-0.99,10206903.77
"XZAG","CBX","HRZB00ICBEX6","2011-11-22",1789.95,1794.40,1778.40,1782.88,-0.34,10839915.83
"XZAG","CBX","HRZB00ICBEX6","2011-11-21",1810.20,1811.03,1784.71,1788.94,-1.22,7421660.29
"XZAG","CBX","HRZB00ICBEX6","2011-11-18",1820.63,1820.63,1806.52,1811.05,-0.53,5103603.39
"XZAG","CBX","HRZB00ICBEX6","2011-11-17",1821.82,1823.59,1815.14,1820.69,-0.06,4882499.95
"XZAG","CBX","HRZB00ICBEX6","2011-11-16",1831.36,1834.25,1821.63,1821.71,-0.50,8409016.66
"XZAG","CBX","HRZB00ICBEX6","2011-11-15",1845.99,1849.00,1829.25,1830.78,-0.79,6176935.05
"XZAG","CBX","HRZB00ICBEX6","2011-11-14",1844.57,1857.77,1842.98,1845.40,0.05,5588689.72
"XZAG","CBX","HRZB00ICBEX6","2011-11-11",1836.33,1848.95,1835.84,1844.55,0.47,4138356.12
"XZAG","CBX","HRZB00ICBEX6","2011-11-10",1825.67,1836.82,1819.80,1835.94,0.56,8924520.08
"XZAG","CBX","HRZB00ICBEX6","2011-11-09",1841.67,1843.42,1822.56,1825.78,-0.90,5949573.97
"XZAG","CBX","HRZB00ICBEX6","2011-11-08",1830.15,1842.39,1830.15,1842.39,0.69,6013413.23
"XZAG","CBX","HRZB00ICBEX6","2011-11-07",1840.95,1841.94,1825.09,1829.80,-0.61,5620556.39
"XZAG","CBX","HRZB00ICBEX6","2011-11-04",1822.47,1841.10,1822.47,1840.99,1.12,8436926.71
"XZAG","CBX","HRZB00ICBEX6","2011-11-03",1817.76,1821.16,1813.86,1820.58,0.08,6491979.17
"XZAG","CBX","HRZB00ICBEX6","2011-11-02",1839.73,1839.73,1797.23,1819.05,-1.28,12094387.75
"XZAG","CBX","HRZB00ICBEX6","2011-10-31",1852.80,1857.89,1829.73,1842.63,-0.52,11730028.82
"XZAG","CBX","HRZB00ICBEX6","2011-10-28",1849.61,1861.81,1833.90,1852.27,0.20,22460097.96
"XZAG","CBX","HRZB00ICBEX6","2011-10-27",1839.54,1878.33,1839.54,1848.49,0.52,11600967.78
"XZAG","CBX","HRZB00ICBEX6","2011-10-26",1809.57,1841.78,1809.46,1838.85,1.64,10369331.59
"XZAG","CBX","HRZB00ICBEX6","2011-10-25",1801.37,1816.86,1799.20,1809.23,0.46,10570140.30
"XZAG","CBX","HRZB00ICBEX6","2011-10-24",1803.83,1806.16,1792.15,1800.98,-0.09,5563883.60
"XZAG","CBX","HRZB00ICBEX6","2011-10-21",1788.86,1802.66,1788.86,1802.66,0.77,6594509.69
"XZAG","CBX","HRZB00ICBEX6","2011-10-20",1802.61,1804.10,1788.34,1788.82,-0.77,4269294.70
